#separator:tab
#html:false
aan	на
Koop je een bolletje ijs?	Ты покупаешь шарик мороженого?
de boodschap	покупка
Ik doe de boodschappen.	Я делаю покупки.
Ik doe de boodschappen niet.	Я не делаю покупки.
Doe je de boodschappen?	Ты делаешь покупки?
het boontje	боб
Ik eet boontjes.	Я ем бобы.
Ik eet geen boontjes.	Я не ем бобы.
Eet je boontjes?	Ты ешь бобы?
de boormachine	дрель
Ik gebruik de boormachine.	Я использую дрель.
Ik gebruik de boormachine niet.	Я не использую дрель.
Gebruik je de boormachine?	Ты используешь дрель?
borrelhapjes	закуски
Ik eet borrelhapjes.	Я ем закуски.
Ik eet geen borrelhapjes.	Я не ем закуски.
Eet je borrelhapjes?	Ты ешь закуски?
de boter	масло
Ik koop boter.	Я покупаю масло.
Ik koop geen boter.	Я не покупаю масло.
Koop je boter?	Ты покупаешь масло?
de bouwmarkt	строймагазин
Ik ga naar de bouwmarkt.	Я пойду в строймагазин.
Ik ga niet naar de bouwmarkt.	Я не пойду в строймагазин.
Ga je naar de bouwmarkt?	Ты идёшь в строймагазин?
brengen	приносить
Ik breng een cadeau.	Я приношу подарок.
Ik breng geen cadeau.	Я не приношу подарок.
Breng je een cadeau?	Ты приносишь подарок?
de brie	бри
Ik eet brie.	Я ем бри.
Ik eet geen brie.	Я не ем бри.
Eet je brie?	Ты ешь бри?
de brief	письмо
Ik schrijf een brief.	Я пишу письмо.
Ik schrijf geen brief.	Я не пишу письмо.
Schrijf je een brief?	Ты пишешь письмо?
het briefje	бумажка
Ik geef een briefje.	Я даю бумажку.
Ik geef geen briefje.	Я не даю бумажку.
Geef je een briefje?	Ты даёшь бумажку?
de broek	брюки
Ik draag een broek.	Я ношу брюки.
Ik draag geen broek.	Я не ношу брюки.
Draag je een broek?	Ты носишь брюки?
het brood	хлеб
Ik koop brood.	Я покупаю хлеб.
Ik koop geen brood.	Я не покупаю хлеб.
Koop je brood?	Ты покупаешь хлеб?
het broodje	булочка
Ik eet een broodje.	Я ем булочку.
Ik eet geen broodje.	Я не ем булочку.
Eet je een broodje?	Ты ешь булочку?
bruin	коричневый
Mijn haar is bruin.	Мои волосы коричневые.
Mijn haar is niet bruin.	Мои волосы не коричневые.
Is jouw haar bruin?	Твои волосы коричневые?
het budget	бюджет
Het budget is klein.	Бюджет маленький.
Het budget is niet klein.	Бюджет не маленький.
Is het budget klein?	Бюджет маленький?
het bureau	стол, офис
Ik werk aan het bureau.	Я работаю за столом.
Ik werk niet aan het bureau.	Я не работаю за столом.
Werk je aan het bureau?	Ты работаешь за столом?
de bus	автобус
Ik ga met de bus.	Я поеду на автобусе.
Ik ga niet met de bus.	Я не поеду на автобусе.
Ga je met de bus?	Ты едешь на автобусе?
het busje	автобус (маленький)
Het busje komt nu.	Автобус приходит сейчас.
Het busje komt niet nu.	Автобус не приходит сейчас.
Komt het busje nu?	Автобус приходит сейчас?
het café	кафе
Ik ga naar het café.	Я пойду в кафе.
Ik ga niet naar het café.	Я не пойду в кафе.
Ga je naar het café?	Ты идёшь в кафе?
de cake	торт
Ik eet cake.	Я ем торт.
Ik eet geen cake.	Я не ем торт.
Eet je cake?	Ты ешь торт?
de cervelaat	сервелат
Ik koop cervelaat.	Я покупаю сервелат.
Ik koop geen cervelaat.	Я не покупаю сервелат.
Koop je cervelaat?	Ты покупаешь сервелат?
het colbert	пиджак
Ik draag een colbert.	Я ношу пиджак.
Ik draag geen colbert.	Я не ношу пиджак.
Draag je een colbert?	Ты носишь пиджак?
contant	наличными
Ik betaal contant.	Я плачу наличными.
Ik betaal niet contant.	Я не плачу наличными.
Betaal je contant?	Ты платишь наличными?
corrigeren	исправлять
Ik corrigeer de fout.	Я исправляю ошибку.
Ik corrigeer de fout niet.	Я не исправляю ошибку.
Corrigeer je de fout?	Ты исправляешь ошибку?
de croissant	круассан
Ik eet een croissant.	Я ем круассан.
Ik eet geen croissant.	Я не ем круассан.
Eet je een croissant?	Ты ешь круассан?
donker	тёмный
Het is donker.	Темно.
Het is niet donker.	Не темно.
Is het donker?	Темно?
donkerbruin	тёмно-коричневый
Mijn ogen zijn donkerbruin.	Мои глаза тёмно-коричневые.
Mijn ogen zijn niet donkerbruin.	Мои глаза не тёмно-коричневые.
Zijn jouw ogen donkerbruin?	Твои глаза тёмно-коричневые?
de doos	коробка
Ik pak de doos.	Я беру коробку.
Ik pak de doos niet.	Я не беру коробку.
Pak je de doos?	Ты берёшь коробку?
het doosje	коробочка
Het doosje is klein.	Коробочка маленькая.
Het doosje is niet klein.	Коробочка не маленькая.
Is het doosje klein?	Коробочка маленькая?
de dorst	жажда
Ik heb dorst.	Я хочу пить.
Ik heb geen dorst.	Я не хочу пить.
Heb je dorst?	Ты хочешь пить?
de douchecrème	крем для душа
Ik gebruik douchecrème.	Я использую крем для душа.
Ik gebruik geen douchecrème.	Я не использую крем для душа.
Gebruik je douchecrème?	Ты используешь крем для душа?
dragen	носить
Ik draag een tas.	Я ношу сумку.
Ik draag geen tas.	Я не ношу сумку.
Draag je een tas?	Ты носишь сумку?
het dressoir	сервант
Het dressoir staat in de woonkamer.	Сервант стоит в гостиной.
Het dressoir staat niet in de woonkamer.	Сервант не стоит в гостиной.
Staat het dressoir in de woonkamer?	Сервант стоит в гостиной?
drinken	пить
Ik drink water.	Я пью воду.
Ik drink geen water.	Я не пью воду.
Drink je water?	Ты пьёшь воду?
de drogist	аптекарь
De drogist helpt mij.	Аптекарь помогает мне.
De drogist helpt mij niet.	Аптекарь не помогает мне.
Helpt de drogist jou?	Аптекарь помогает тебе?
de drogisterij	аптека
Ik ga naar de drogisterij.	Я пойду в аптеку.
Ik ga niet naar de drogisterij.	Я не пойду в аптеку.
Ga je naar de drogisterij?	Ты идёшь в аптеку?
de druif	виноград
Ik eet druiven.	Я ем виноград.
Ik eet geen druiven.	Я не ем виноград.
Eet je druiven?	Ты ешь виноград?
duur	дорогой
Het is duur.	Это дорого.
Het is niet duur.	Это не дорого.
Is het duur?	Это дорого?
eens	однажды, когда-нибудь, даже
Ik ga eens naar de stad.	Я пойду когда-нибудь в город.
Ik ga niet eens naar de stad.	Я даже не пойду в город.
Ga je eens naar de stad?	Ты пойдёшь когда-нибудь в город?
de eettafel	обеденный стол
De eettafel is groot.	Обеденный стол большой.
De eettafel is niet groot.	Обеденный стол не большой.
Is de eettafel groot?	Обеденный стол большой?
elkaar	друг друга
We helpen elkaar.	Мы помогаем друг другу.
We helpen elkaar niet.	Мы не помогаем друг другу.
Helpen jullie elkaar?	Вы помогаете друг другу?
er	там, туда
Ik ga erheen.	Я пойду туда.
Ik ga er niet heen.	Я не пойду туда.
Ga je erheen?	Ты идёшь туда?
eten	есть
Ik eet brood.	Я ем хлеб.
Ik eet geen brood.	Я не ем хлеб.
Eet je brood?	Ты ешь хлеб?
de fauteuil	кресло
Ik zit in de fauteuil.	Я сижу в кресле.
Ik zit niet in de fauteuil.	Я не сижу в кресле.
Zit je in de fauteuil?	Ты сидишь в кресле?
fijn	хороший
Dat is fijn.	Это хорошо.
Dat is niet fijn.	Это не хорошо.
Is dat fijn?	Это хорошо?
de flat	квартира
Ik woon in een flat.	Я живу в квартире.
Ik woon niet in een flat.	Я не живу в квартире.
Woon je in een flat?	Ты живёшь в квартире?
de fles	бутылка
Ik koop een fles wijn.	Я покупаю бутылку вина.
Ik koop geen fles wijn.	Я не покупаю бутылку вина.
Koop je een fles wijn?	Ты покупаешь бутылку вина?
het flesje	бутылочка
Het flesje is leeg.	Бутылочка пустая.
Het flesje is niet leeg.	Бутылочка не пустая.
Is het flesje leeg?	Бутылочка пустая?
de framboos	малина
Ik eet frambozen.	Я ем малину.
Ik eet geen frambozen.	Я не ем малину.
Eet je frambozen?	Ты ешь малину?
het gebak	выпечка
Ik koop gebak.	Я покупаю выпечку.
Ik koop geen gebak.	Я не покупаю выпечку.
Koop je gebak?	Ты покупаешь выпечку?
geel	жёлтый
De zon is geel.	Солнце жёлтое.
De zon is niet geel.	Солнце не жёлтое.
Is de zon geel?	Солнце жёлтое?
het gehakt	фарш
Ik koop gehakt.	Я покупаю фарш.
Ik koop geen gehakt.	Я не покупаю фарш.
Koop je gehakt?	Ты покупаешь фарш?
gesneden	нарезанный
Het brood is gesneden.	Хлеб нарезанный.
Het brood is niet gesneden.	Хлеб не нарезанный.
Is het brood gesneden?	Хлеб нарезанный?
gezond	здоровый
Groente is gezond.	Овощи полезные.
Groente is niet gezond.	Овощи не полезные.
Is groente gezond?	Овощи полезные?
goedkoop	дешёвый
Het is goedkoop.	Это дёшево.
Het is niet goedkoop.	Это не дёшево.
Is het goedkoop?	Это дёшево?
het gram	грамм
Ik koop vijfhonderd gram.	Я покупаю пятьсот грамм.
Ik koop niet vijfhonderd gram.	Я не покупаю пятьсот грамм.
Koop je vijfhonderd gram?	Ты покупаешь пятьсот грамм?
grijs	серый
Mijn trui is grijs.	Мой свитер серый.
Mijn trui is niet grijs.	Мой свитер не серый.
Is jouw trui grijs?	Твой свитер серый?
groen	зелёный
Het gras is groen.	Трава зелёная.
Het gras is niet groen.	Трава не зелёная.
Is het gras groen?	Трава зелёная?
de groente	овощ
Ik eet groente.	Я ем овощи.
Ik eet geen groente.	Я не ем овощи.
Eet je groente?	Ты ешь овощи?
de groenteman	овощник
De groenteman verkoopt groente.	Овощник продаёт овощи.
De groenteman verkoopt geen groente.	Овощник не продаёт овощи.
Verkoopt de groenteman groente?	Овощник продаёт овощи?
de hak	каблук
De hak is hoog.	Каблук высокий.
De hak is niet hoog.	Каблук не высокий.
Is de hak hoog?	Каблук высокий?
half	половина
Het is half negen.	Половина девятого.
Het is niet half negen.	Не половина девятого.
Is het half negen?	Половина девятого?
de halsketting	ожерелье
Ik draag een halsketting.	Я ношу ожерелье.
Ik draag geen halsketting.	Я не ношу ожерелье.
Draag je een halsketting?	Ты носишь ожерелье?
de ham	ветчина
Ik eet ham.	Я ем ветчину.
Ik eet geen ham.	Я не ем ветчину.
Eet je ham?	Ты ешь ветчину?
de hamburger	гамбургер
Ik eet een hamburger.	Я ем гамбургер.
Ik eet geen hamburger.	Я не ем гамбургер.
Eet je een hamburger?	Ты ешь гамбургер?
de hamer	молоток
Ik gebruik de hamer.	Я использую молоток.
Ik gebruik de hamer niet.	Я не использую молоток.
Gebruik je de hamer?	Ты используешь молоток?
de handdoek	полотенце
Ik gebruik een handdoek.	Я использую полотенце.
Ik gebruik geen handdoek.	Я не использую полотенце.
Gebruik je een handdoek?	Ты используешь полотенце?
de handschoen	перчатка
Ik draag handschoenen.	Я ношу перчатки.
Ik draag geen handschoenen.	Я не ношу перчатки.
Draag je handschoenen?	Ты носишь перчатки?
hangen	висеть
De jas hangt aan de kapstok.	Куртка висит на вешалке.
De jas hangt niet aan de kapstok.	Куртка не висит на вешалке.
Hangt de jas aan de kapstok?	Куртка висит на вешалке?
hartstikke	очень
Het is hartstikke leuk.	Это очень весело.
Het is niet hartstikke leuk.	Это не очень весело.
Is het hartstikke leuk?	Это очень весело?
heerlijk	вкусный
Het eten is heerlijk.	Еда вкусная.
Het eten is niet heerlijk.	Еда не вкусная.
Is het eten heerlijk?	Еда вкусная?
heet	горячий
De koffie is heet.	Кофе горячий.
De koffie is niet heet.	Кофе не горячий.
Is de koffie heet?	Кофе горячий?
helaas	к сожалению
Helaas kan ik niet komen.	К сожалению, я не могу прийти.
Helaas kan ik wel komen.	К сожалению, я могу прийти.
Kan je helaas niet komen?	К сожалению, ты не можешь прийти?
helpen	помогать
Ik help jou.	Я помогаю тебе.
Ik help jou niet.	Я не помогаю тебе.
Help je mij?	Ты помогаешь мне?
hem	его
Ik zie hem.	Я вижу его.
Ik zie hem niet.	Я не вижу его.
Zie je hem?	Ты видишь его?
hen	их
Ik zie hen.	Я вижу их.
Ik zie hen niet.	Я не вижу их.
Zie je hen?	Ты видишь их?
honger	голод
Ik heb honger.	Я хочу есть.
Ik heb geen honger.	Я не хочу есть.
Heb je honger?	Ты хочешь есть?
hoog	высокий
De tafel is hoog.	Стол высокий.
De tafel is niet hoog.	Стол не высокий.
Is de tafel hoog?	Стол высокий?
hun	их
Ik zie hun huis.	Я вижу их дом.
Ik zie hun huis niet.	Я не вижу их дом.
Zie je hun huis?	Ты видишь их дом?
inderdaad	действительно
Inderdaad, dat klopt.	Действительно, это правильно.
Inderdaad, dat klopt niet.	Действительно, это не правильно.
Klopt dat inderdaad?	Это действительно правильно?
interessant	интересный
Het is interessant.	Это интересно.
Het is niet interessant.	Это не интересно.
Is het interessant?	Это интересно?
jammer	жаль
Jammer dat je niet komt.	Жаль, что ты не приходишь.
Het is niet jammer.	Не жаль.
Is het jammer?	Жаль?
de jas	куртка
Ik draag een jas.	Я ношу куртку.
Ik draag geen jas.	Я не ношу куртку.
Draag je een jas?	Ты носишь куртку?
de jenever	джин
Ik drink jenever.	Я пью джин.
Ik drink geen jenever.	Я не пью джин.
Drink je jenever?	Ты пьёшь джин?
jong	молодой
Hij is jong.	Он молодой.
Hij is niet jong.	Он не молодой.
Is hij jong?	Он молодой?
jou	тебя
Ik zie jou.	Я вижу тебя.
Ik zie jou niet.	Я не вижу тебя.
Zie je mij?	Ты видишь меня?
de jurk	платье
Ik draag een jurk.	Я ношу платье.
Ik draag geen jurk.	Я не ношу платье.
Draag je een jurk?	Ты носишь платье?
de juwelier	ювелир
Ik ga naar de juwelier.	Я пойду к ювелиру.
Ik ga niet naar de juwelier.	Я не пойду к ювелиру.
Ga je naar de juwelier?	Ты идёшь к ювелиру?
de kaas	сыр
Ik eet kaas.	Я ем сыр.
Ik eet geen kaas.	Я не ем сыр.
Eet je kaas?	Ты ешь сыр?
de kalender	календарь
Ik kijk naar de kalender.	Я смотрю на календарь.
Ik kijk niet naar de kalender.	Я не смотрю на календарь.
Kijk je naar de kalender?	Ты смотришь на календарь?
de keeltablet	таблетка от горла
Ik neem een keeltablet.	Я принимаю таблетку от горла.
Ik neem geen keeltablet.	Я не принимаю таблетку от горла.
Neem je een keeltablet?	Ты принимаешь таблетку от горла?
de kers	вишня
Ik eet kersen.	Я ем вишню.
Ik eet geen kersen.	Я не ем вишню.
Eet je kersen?	Ты ешь вишню?
de ketchup	кетчуп
Ik gebruik ketchup.	Я использую кетчуп.
Ik gebruik geen ketchup.	Я не использую кетчуп.
Gebruik je ketchup?	Ты используешь кетчуп?
de keus	выбор
Ik heb keus.	У меня есть выбор.
Ik heb geen keus.	У меня нет выбора.
Heb je keus?	У тебя есть выбор?
kijken	смотреть
Ik kijk naar de tv.	Я смотрю телевизор.
Ik kijk niet naar de tv.	Я не смотрю телевизор.
Kijk je naar de tv?	Ты смотришь телевизор?
de kilo	килограмм
Ik koop een kilo.	Я покупаю килограмм.
Ik koop geen kilo.	Я не покупаю килограмм.
Koop je een kilo?	Ты покупаешь килограмм?
de kip	курица
Ik eet kip.	Я ем курицу.
Ik eet geen kip.	Я не ем курицу.
Eet je kip?	Ты ешь курицу?
de kipfilet	куриное филе
Ik koop kipfilet.	Я покупаю куриное филе.
Ik koop geen kipfilet.	Я не покупаю куриное филе.
Koop je kipfilet?	Ты покупаешь куриное филе?
de kippenbout	куриная ножка
Ik eet een kippenbout.	Я ем куриную ножку.
Ik eet geen kippenbout.	Я не ем куриную ножку.
Eet je een kippenbout?	Ты ешь куриную ножку?
de kippenpoot	куриная лапка
Ik eet een kippenpoot.	Я ем куриную лапку.
Ik eet geen kippenpoot.	Я не ем куриную лапку.
Eet je een kippenpoot?	Ты ешь куриную лапку?
de klant	клиент
Ik ben een klant.	Я клиент.
Ik ben geen klant.	Я не клиент.
Ben je een klant?	Ты клиент?
de kleding	одежда
Ik koop kleding.	Я покупаю одежду.
Ik koop geen kleding.	Я не покупаю одежду.
Koop je kleding?	Ты покупаешь одежду?
de kledingwinkel	магазин одежды
Ik ga naar de kledingwinkel.	Я пойду в магазин одежды.
Ik ga niet naar de kledingwinkel.	Я не пойду в магазин одежды.
Ga je naar de kledingwinkel?	Ты идёшь в магазин одежды?
klein	маленький
Het huis is klein.	Дом маленький.
Het huis is niet klein.	Дом не маленький.
Is het huis klein?	Дом маленький?
de kleren	одежда
Ik draag kleren.	Я ношу одежду.
Ik draag geen kleren.	Я не ношу одежду.
Draag je kleren?	Ты носишь одежду?
de kleur	цвет
Ik hou van deze kleur.	Я люблю этот цвет.
Ik hou niet van deze kleur.	Я не люблю этот цвет.
Hou je van deze kleur?	Ты любишь этот цвет?
het koekje	печенье
Ik eet een koekje.	Я ем печенье.
Ik eet geen koekje.	Я не ем печенье.
Eet je een koekje?	Ты ешь печенье?
koel	прохладный
Het is koel.	Прохладно.
Het is niet koel.	Не прохладно.
Is het koel?	Прохладно?
de komkommer	огурец
Ik eet komkommer.	Я ем огурец.
Ik eet geen komkommer.	Я не ем огурец.
Eet je komkommer?	Ты ешь огурец?
koken	готовить
Ik kook avondeten.	Я готовлю ужин.
Ik kook geen avondeten.	Я не готовлю ужин.
Kook je avondeten?	Ты готовишь ужин?
de koopavond	вечер покупок
Ik ga op koopavond.	Я пойду на вечер покупок.
Ik ga niet op koopavond.	Я не пойду на вечер покупок.
Ga je op koopavond?	Ты идёшь на вечер покупок?
kort	короткий
Mijn haar is kort.	Мои волосы короткие.
Mijn haar is niet kort.	Мои волосы не короткие.
Is jouw haar kort?	Твои волосы короткие?
kosten	стоить
Het kost tien euro.	Это стоит десять евро.
Het kost niet tien euro.	Это не стоит десять евро.
Kost het tien euro?	Это стоит десять евро?
het kostuum	костюм
Ik draag een kostuum.	Я ношу костюм.
Ik draag geen kostuum.	Я не ношу костюм.
Draag je een kostuum?	Ты носишь костюм?
koud	холодный
Het is koud.	Холодно.
Het is niet koud.	Не холодно.
Is het koud?	Холодно?
de krant	газета
Ik lees de krant.	Я читаю газету.
Ik lees de krant niet.	Я не читаю газету.
Lees je de krant?	Ты читаешь газету?
de krentenbol	булочка с изюмом
Ik eet een krentenbol.	Я ем булочку с изюмом.
Ik eet geen krentenbol.	Я не ем булочку с изюмом.
Eet je een krentenbol?	Ты ешь булочку с изюмом?
de krop	кочан
Ik koop een krop sla.	Я покупаю кочан салата.
Ik koop geen krop sla.	Я не покупаю кочан салата.
Koop je een krop sla?	Ты покупаешь кочан салата?
de kruk	табуретка
Ik zit op een kruk.	Я сижу на табуретке.
Ik zit niet op een kruk.	Я не сижу на табуретке.
Zit je op een kruk?	Ты сидишь на табуретке?
laag	низкий
De tafel is laag.	Стол низкий.
De tafel is niet laag.	Стол не низкий.
Is de tafel laag?	Стол низкий?
de laars	сапог
Ik draag laarzen.	Я ношу сапоги.
Ik draag geen laarzen.	Я не ношу сапоги.
Draag je laarzen?	Ты носишь сапоги?
het lamsvlees	баранина
Ik eet lamsvlees.	Я ем баранину.
Ik eet geen lamsvlees.	Я не ем баранину.
Eet je lamsvlees?	Ты ешь баранину?
lang	длинный
Mijn haar is lang.	Мои волосы длинные.
Mijn haar is niet lang.	Мои волосы не длинные.
Is jouw haar lang?	Твои волосы длинные?
lelijk	некрасивый
Het is lelijk.	Это некрасиво.
Het is niet lelijk.	Это не некрасиво.
Is het lelijk?	Это некрасиво?
lekker	вкусный
Het eten is lekker.	Еда вкусная.
Het eten is niet lekker.	Еда не вкусная.
Is het eten lekker?	Еда вкусная?
licht	светлый
Het is licht.	Светло.
Het is niet licht.	Не светло.
Is het licht?	Светло?
lichtbruin	светло-коричневый
Mijn haar is lichtbruin.	Мои волосы светло-коричневые.
Mijn haar is niet lichtbruin.	Мои волосы не светло-коричневые.
Is jouw haar lichtbruin?	Твои волосы светло-коричневые?
lijken	похоже
Het lijkt goed.	Это похоже на хорошее.
Het lijkt niet goed.	Это не похоже на хорошее.
Lijkt het goed?	Это похоже на хорошее?
de lippenstift	помада
Ik gebruik lippenstift.	Я использую помаду.
Ik gebruik geen lippenstift.	Я не использую помаду.
Gebruik je lippenstift?	Ты используешь помаду?
lopen	ходить
Ik loop naar de winkel.	Я пойду в магазин.
Ik loop niet naar de winkel.	Я не пойду в магазин.
Loop je naar de winkel?	Ты идёшь в магазин?
maar	но
Ik wil komen, maar ik kan niet.	Я хочу прийти, но не могу.
Ik wil niet komen, maar ik kan wel.	Я не хочу прийти, но могу.
Wil je komen, maar kan je niet?	Ты хочешь прийти, но не можешь?
de maat	размер
Ik heb maat 42.	У меня размер 42.
Ik heb geen maat 42.	У меня не размер 42.
Heb je maat 42?	У тебя размер 42?
de make-up	макияж
Ik draag make-up.	Я ношу макияж.
Ik draag geen make-up.	Я не ношу макияж.
Draag je make-up?	Ты носишь макияж?
de mandarijn	мандарин
Ik eet een mandarijn.	Я ем мандарин.
Ik eet geen mandarijn.	Я не ем мандарин.
Eet je een mandarijn?	Ты ешь мандарин?
de marktkraam	рыночный лоток
Ik koop bij de marktkraam.	Я покупаю у рыночного лотка.
Ik koop niet bij de marktkraam.	Я не покупаю у рыночного лотка.
Koop je bij de marktkraam?	Ты покупаешь у рыночного лотка?
de melk	молоко
Ik drink melk.	Я пью молоко.
Ik drink geen melk.	Я не пью молоко.
Drink je melk?	Ты пьёшь молоко?
de meloen	дыня
Ik eet meloen.	Я ем дыню.
Ik eet geen meloen.	Я не ем дыню.
Eet je meloen?	Ты ешь дыню?
de meneer	господин
Meneer Jansen is vriendelijk.	Господин Янсен дружелюбный.
Meneer Jansen is niet vriendelijk.	Господин Янсен не дружелюбный.
Is meneer Jansen vriendelijk?	Господин Янсен дружелюбный?
het menu	меню
Ik kijk naar het menu.	Я смотрю в меню.
Ik kijk niet naar het menu.	Я не смотрю в меню.
Kijk je naar het menu?	Ты смотришь в меню?
met	с
Ik ga met jou.	Я пойду с тобой.
Ik ga niet met jou.	Я не пойду с тобой.
Ga je met mij?	Ты идёшь со мной?
mild	мягкий
Het is mild.	Это мягко.
Het is niet mild.	Это не мягко.
Is het mild?	Это мягко?
misschien	может быть
Misschien kom ik morgen.	Может быть, я приду завтра.
Misschien kom ik niet morgen.	Может быть, я не приду завтра.
Kom je misschien morgen?	Ты можешь прийти завтра?
het model	модель
